Richness.Species,Carbohydrate.Shannon,Media,FS,LR,LE,LS,Concentration,Carbohydrate.Evenness,Connectivity,Carbohydrate.Richness,PR
71,1.51,NS,FSA,12,0.682675222,1.636983687,0.64,0.556,0.042792793,5,4
79,1.51,NS,FSA,12,0.682675222,1.636983687,0.64,0.556,0.034343434,5,4
74,1.58,MM,FSA,16,0.695145574,1.92735278,0.9,0.584,0.0352657,7,8
76,1.58,MM,FSA,16,0.695145574,1.92735278,0.9,0.584,0.036469345,7,8
72,1.58,MM,FSA,16,0.695145574,1.92735278,0.9,0.584,0.02748227,7,8
78,1.64,IL,FSA,24,0.617404683,1.962145319,2.44,0.604,0.032312925,14,8
89,1.64,IL,FSA,24,0.617404683,1.962145319,2.44,0.604,0.024886878,14,8
109,1.64,IL,FSA,24,0.617404683,1.962145319,2.44,0.604,0.035285285,14,8
56,1.51,NS,FSB,12,0.682675222,1.636983687,0.64,0.556,0.030952381,5,4
63,1.51,NS,FSB,12,0.682675222,1.636983687,0.64,0.556,0.046345811,5,4
52,1.51,NS,FSB,12,0.682675222,1.636983687,0.64,0.556,0.04516129,5,4
62,1.58,MM,FSB,16,0.695145574,1.92735278,0.9,0.584,0.044537815,7,4
54,1.58,MM,FSB,16,0.695145574,1.92735278,0.9,0.584,0.036931818,7,4
61,1.58,MM,FSB,16,0.695145574,1.92735278,0.9,0.584,0.042016807,7,4
89,1.64,IL,FSB,24,0.617404683,1.962145319,2.44,0.604,0.028301887,14,8
93,1.64,IL,FSB,24,0.617404683,1.962145319,2.44,0.604,0.029387755,14,8
99,1.64,IL,FSB,24,0.617404683,1.962145319,2.44,0.604,0.01779661,14,8
34,1.36,5MM,FSB,16,0.552988167,1.533208755,3.3,0.503,0.119047619,7,8
32,1.36,5MM,FSB,16,0.552988167,1.533208755,3.3,0.503,0.133333333,7,8
32,1.36,5MM,FSB,16,0.552988167,1.533208755,3.3,0.503,0.081818182,7,8
82,1.7,B,FSA,13,0.638192681,1.636931906,0.84,0.947,,6,4
60,1.7,B,FSA,13,0.638192681,1.636931906,0.84,0.947,,6,4
71,1.7,B,FSA,13,0.638192681,1.636931906,0.84,0.947,,6,4
71,1.7,B,FSA,13,0.638192681,1.636931906,0.84,0.947,,6,4
19,0.919,GP,FSA,13,0.337135346,0.86473509,2.64,0.513,,6,4
16,0.919,GP,FSA,13,0.337135346,0.86473509,2.64,0.513,,6,4
12,0.919,GP,FSA,13,0.337135346,0.86473509,2.64,0.513,,6,4
8,0.919,GP,FSA,13,0.337135346,0.86473509,2.64,0.513,,6,4
39,1.05,GM,FSA,11,0.593930097,1.424182172,2.8,0.586,,6,4
60,1.05,GM,FSA,11,0.593930097,1.424182172,2.8,0.586,,6,4
53,1.05,GM,FSA,11,0.593930097,1.424182172,2.8,0.586,,6,4
54,1.05,GM,FSA,11,0.593930097,1.424182172,2.8,0.586,,6,4
60,0.992,AP,FSA,13,0.827964331,2.123686579,2.74,0.553,,6,4
73,0.992,AP,FSA,13,0.827964331,2.123686579,2.74,0.553,,6,4
61,0.992,AP,FSA,13,0.827964331,2.123686579,2.74,0.553,,6,4
56,0.992,AP,FSA,13,0.827964331,2.123686579,2.74,0.553,,6,4
29,1.29,AM,FSA,7,0.611683308,1.190280757,2.74,0.665,,7,4
9,1.29,AM,FSA,7,0.611683308,1.190280757,2.74,0.665,,7,4
10,1.29,AM,FSA,7,0.611683308,1.190280757,2.74,0.665,,7,4
10,1.29,AM,FSA,7,0.611683308,1.190280757,2.74,0.665,,7,4
84,2.37,ILC,FSA,19,0.857926358,2.52611181,0.5,0.988,,11,4
77,2.37,ILC,FSA,19,0.857926358,2.52611181,0.5,0.988,,11,4
81,2.37,ILC,FSA,19,0.857926358,2.52611181,0.5,0.988,,11,4
76,2.37,ILC,FSA,19,0.857926358,2.52611181,0.5,0.988,,11,4
