Number,ID
1,"""Alistipes"""
2,"""Anaerostipes"""
3,"""Anaerovoracaceae_unclassified"""
4,"""Bacteroides"""
5,"""Blautia"""
6,"""Christensenellaceae_R-7_group"""
7,"""Clostridia_vadinBB60_group_ge"""
8,"""Colidextribacter"""
9,"""Coprococcus"""
10,"""Eggerthella"""
11,"""Eisenbergiella"""
12,"""Escherichia-Shigella"""
13,"""Family_XIII_AD3011_group"""
14,"""Firmicutes"""
15,"""Flavonifractor"""
16,"""GCA-900066755"""
17,"""Halomonas"""
18,"""Holdemania"""
19,"""Hungatella"""
20,"""Incertae_Sedis"""
21,"""Lachnoclostridium"""
22,"""Lachnospiraceae"""
23,"""NK4A214_group"""
24,"""Oscillibacter"""
25,"""Oscillospira"""
26,"""Oscillospiraceae"""
27,"""Oscillospirales"""
28,"""Phascolarctobacterium"""
29,"""Phocea"""
30,"""Ruminococcaceae"""
31,"""Tissierella"""
32,"""UCG-005"""
