Column1,Column2,Number
Acetanaerobacterium,1,"""Acetanaerobacterium"""
Akkermansia,2,"""Akkermansia"""
Alistipes,3,"""Alistipes"""
Anaerovoracaceae_unclassified,4,"""Anaerovoracaceae_unclassified"""
Bacteroides,5,"""Bacteroides"""
Blautia,6,"""Blautia"""
Butyricicoccus,7,"""Butyricicoccus"""
Christensenellaceae_R-7_group,8,"""Christensenellaceae_R-7_group"""
Erysipelotrichaceae,9,"""Erysipelotrichaceae"""
Family_XIII_AD3011_group,10,"""Family_XIII_AD3011_group"""
Lachnoclostridium,11,"""Lachnoclostridium"""
Lachnospiraceae,12,"""Lachnospiraceae"""
Oscillibacter,13,"""Oscillibacter"""
Oscillospiraceae,14,"""Oscillospiraceae"""
Ruminococcaceae_ge,15,"""Ruminococcaceae_ge"""
Tissierella,16,"""Tissierella"""
UBA1819,17,"""UBA1819"""
